"word","pinyin","pinyinf","category","meaning"
"痴呆","chi1 dai1","chī dāi","形容詞","頭が鈍い、抜けている"
"迟早","chi2 zao3","chí zǎo","副詞","早かれ、遅かれ"
"持续","chi2 xu4","chí xù","動詞","持続する、継続する"
"翅膀","chi4 bang3","chì bǎng","名詞","つばさ"
"充满","chong1 man3","chōng mǎn","動詞","〜で充ちている"
"冲突","chong1 tu1","chōng tū","動詞","ぶつかる、矛盾する、食い違う"
"崇拜","chong2 bai4","chóng bài","動詞","崇拝する"
"崇尚","chong2 shang4","chóng shàng","動詞","尊重する"
"抽象","chou1 xiang4","chōu xiàng","形容詞","抽象的な"
"酬金","chou2 jin1","chóu jīn","名詞","謝礼金、報酬"
"出色","chu1 se4","chū sè","形容詞","傑出している、見事である"
"出头","chu1 tou2","chū tóu","動詞","日の目を見る、顔を出す、(整数のあとで)~あまり"
"出于","chu1 yu2","chū yú","介詞","~による(主な原因を表す)"
"初次","chu1 ci4","chū cì","名詞","初めて、最初"
"处","chu4","chù","名詞","部署、オフィス"
"处罚","chu3 fa2","chǔ fá","動詞","処罰する"
"处世","chu3 shi4","chǔ shì","動詞","世渡りする"
"触目惊心","chu4 mu4 jing1 xin1","chù mù jīng xīn","成語","ひどい情景を見て心を痛める"
"传播","chuan2 bo1","chuán bō","動詞","広がる、伝播する"
"传染","chuan2 ran3","chuán rǎn","動詞","伝染する、移る"
"传诵","chuan2 song4","chuán sòng","動詞","伝誦する"
"船","chuan2","chuán","名詞","船"
"创办","chuang4 ban4","chuàng bàn","動詞","始める、創設する"
"吹","chui1","chuī","動詞","ダメになる、吹き付ける"
"吹奏","chui1 zou4","chuī zòu","動詞","吹奏する"
"纯粹","chun2 cui4","chún cuì","形容詞","純粋な"
"纯朴","chun2 pu3","chún pǔ","形容詞","純朴な"
"磁铁","ci2 tie3","cí tiě","名詞","磁石"
"从而","cong2 er2","cóng ér","助詞","それによって－なので"
"粗心大意","cu1 xin1 da4 yi4","cū xīn dà yì","成語","そそっかしくて注意力が足りない"
"促进","cu4 jin4","cù jìn","動詞","促進する"
"挫折","cuo4 zhe2","cuò zhé","動詞","挫折する、挫折(名詞)"
"错怪","cuo4 guai4","cuò guài","動詞","誤る"
"搭伙","da1 huo3","dā huǒ","動詞","仲間になる、一緒に組む"
"大包大揽","da4 bao1 da4 lan3","dà  bāo dà  lǎn","成語","すべてを一手に引き受ける、丸抱えする"
"大祸临头","da4 huo4 lin2 tou2","dà huò lín tóu","成語","大きな災いが降りかかる"
"大街小巷","da4 jie1 xiao3 xiang4","dà jiē xiǎo xiàng","成語","大きな通りと小さな路地"
"大可不必","da4 ke3 bu2 bi4","dà kě bú bì","成語","必要ない"
"大体","da4 ti3","dà tǐ","副詞","だいたい、おおよそ"
"大型","da4 xing2","dà xíng","形容詞","大型の"
"大雁","da4 yan4","dà yàn","名詞","雁(鳥の種類)"
"大杂院","da4 za2 yuan4","dà zá yuàn","名詞","集合住宅"
"大致","da4 zhi4","dà zhì","副詞","おおむね、だいたい"
"代表团","dai4 biao3 tuan2","dài biǎo tuán","名詞","代表団"
"代沟","dai4 gou1","dài gōu","名詞","世代間のギャップ"
"代价","dai4 jia4","dài jià","名詞","対価"
"代劳","dai4 lao2","dài láo","動詞","代わりに骨を折る"
"代替","dai4 ti4","dài tì","動詞","代わる"
"怠工","dai4 gong1","dài gōng","動詞","仕事をさぼる"
"贷款","dai4 kuan3","dài kuǎn","名詞","ローン"
"单纯","dan1 chun2","dān chún","形容詞","単純である"
"导致","dao3 zhi4","dǎo zhì","動詞","(ある悪い結果を)引き起こす、もたらす"
"倒闭","dao3 bi4","dǎo bì","動詞","倒産する"
"道路","dao4 lu4","dào lù","名詞","道路"
"稻","dao4","dào","名詞","稲"
"得名","de2 ming2","dé míng","動詞","名付けられる、有名になる"
"得罪","de2 zui4","dé zuì","動詞","人の機嫌を損ねる、怒らせる"
"的确","di2 que4","dí què","形容詞","確かに、掛け値なしに"
"登记","deng1 ji4","dēng jì","動詞","(結婚のための)登録"
"敌人","di2 ren2","dí rén","名詞","敵"
"抵","di3","dǐ","動詞","支える、至る、防ぐ"
"地步","di4 bu4","dì bù","名詞","程度"
"地方","di4 fang1","dì fāng","名詞","場所、地方"
"地契","di4 qi4","dì qì","名詞","地券"
"颠簸","dian1 bo3","diān bǒ","動詞","上下に揺れ動く"
"颠倒","dian1 dao3","diān dǎo","動詞","逆さまになる"
"电子邮件","dian4 zi3 you2 jian4","diàn zǐ yóu jiàn","名詞","e-mail"
"刁民","diao1 min2","diāo mín","名詞","扱いにくい人"
"雕刻","diao1 ke4","diāo kè","名詞","彫刻"
"调查","diao4 cha2","diào chá","動詞","調査する"
"调整","tiao2 zheng3","tiáo zhěng","動詞","調整する"
"叮","ding1","dīng","動詞","(蚊などが)刺す、言い聞かせる、念を押す"
"钉子","ding1 zi","dīng zi","名詞","釘"
"订购","ding4 gou4","dìng gòu","動詞","注文する"
"订货单","ding4 huo4 dan1","dìng huò dān","名詞","注文リスト"
"东张西望","dong1 zhang1 xi1 wang4","dōng zhāng xī wàng","成語","きょろきょろする"
"动荡","dong4 dang4","dòng dàng","動詞","激動する"
